Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,Ecommerce,All,EC_total_discount_transaction_size,Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,EC,0
Transactional,Ecommerce,All,EC_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Double,Percent of discount transactions count out of total transactions count,1,EC,1
Transactional,Ecommerce,All,EC_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,1,EC,1
Transactional,Ecommerce,All,EC_total_cashback_transaction_count,Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,1,EC,1
Transactional,Ecommerce,All,EC_total_cashback_transaction_size,Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,1,EC,1
Transactional,Ecommerce,All,EC_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Double,Percent of cashback transactions count out of total transactions count,1,EC,1
Transactional,Ecommerce,All,EC_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,1,EC,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_preferable_plan_payment_type,Preferable Plan Payment Type,String,Does customer prefer prepaid or postpaid payment plan,1,L3RU,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_operator_due_dates,Prepaid Operator and Due Date,Nested,List of operators and their bill due dates for the customer,1,BILLS,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_operator_due_dates.Operator,Prepaid Operator and Due Date,String,List of operators and their bill due dates for the customer,1,NESTED,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_operator_due_dates.DueDate,Prepaid Operator and Due Date,Date,List of operators and their bill due dates for the customer,1,NESTED,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_operator_due_dates.BillAmount,Prepaid Operator and Due Date,Double,List of operators and their bill due dates for the customer,1,NESTED,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_operator_due_dates,Postpaid Operator and Due Date,Nested,List of operators and their bill due dates for the customer,1,BILLS,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_operator_due_dates.Operator,Postpaid Operator and Due Date,String,List of operators and their bill due dates for the customer,1,NESTED,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_operator_due_dates.DueDate,Postpaid Operator and Due Date,Date,List of operators and their bill due dates for the customer,1,NESTED,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_operator_due_dates.BillAmount,Postpaid Operator and Due Date,Double,List of operators and their bill due dates for the customer,1,NESTED,1
